Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
1001,Guitar Hero: On Tour,DS,Activision,N/A,7.1,8.1,N/A,22nd Jun 08,N/A,Misc
1002,Dragon Ball Z: Budokai,PS2,Atari,N/A,N/A,N/A,3.46m,03rd Dec 02,N/A,Fighting
1003,Spyro 2: Ripto's Rage!,PS,Sony Computer Entertainment,N/A,8.7,N/A,3.45m,31st Oct 99,N/A,Platform
1004,Halo: The Master Chief Collection,XOne,Microsoft Studios,N/A,N/A,N/A,N/A,11th Nov 14,24th Mar 18,Shooter
1005,Star Ocean,Series,Enix,N/A,N/A,N/A,3.44m,19th Jul 96,15th Jan 21,Role-Playing
1006,LEGO Batman: The Videogame    Read the review,X360,Warner Bros. Interactive,7.5,7.5,N/A,N/A,23rd Sep 08,N/A,Adventure
1007,Tekken 4,PS2,Namco,N/A,7.9,N/A,N/A,23rd Sep 02,N/A,Fighting
1008,FIFA 14,PS4,EA Sports,N/A,N/A,N/A,N/A,15th Nov 13,15th Sep 18,Sports
1009,LittleBigPlanet 2,PS3,Sony Computer Entertainment,N/A,9.1,N/A,N/A,18th Jan 11,N/A,Platform
1010,Grand Theft Auto 2,PS,Rockstar Games,N/A,6.9,N/A,N/A,25th Oct 99,N/A,Action
1011,Destiny,XOne,Activision,N/A,8.3,N/A,N/A,09th Sep 14,12th Jan 18,Shooter
1012,Spider-Man 2,PS2,Activision,N/A,7.9,N/A,N/A,28th Jun 04,N/A,Action
1013,F-1 Race,GB,Nintendo,N/A,N/A,N/A,3.41m,01st Feb 91,N/A,Racing
1014,World of Warcraft: Battle for Azeroth,PC,Blizzard Entertainment,N/A,N/A,N/A,3.40m,14th Aug 18,19th Apr 18,MMO
1015,Lego Star Wars: The Complete Saga,All,LucasArts,N/A,N/A,N/A,3.40m,09th Nov 07,03rd Nov 20,Action-Adventure
1016,SimCity 2000,All,Maxis,N/A,N/A,N/A,3.40m,01st Jan 93,27th Nov 20,Simulation
1017,Saints Row 2,All,THQ,N/A,N/A,N/A,3.40m,14th Oct 08,06th Dec 20,Action-Adventure
1018,FIFA Soccer 2003,PS2,EA Sports,N/A,N/A,N/A,N/A,14th Nov 02,N/A,Sports
1019,Spintires,Series,IMGN PRO,N/A,N/A,N/A,3.39m,13th Jun 14,04th Mar 20,Simulation
1020,Crash Bash,PS,Sony Computer Entertainment,N/A,6.8,N/A,N/A,06th Nov 00,N/A,Misc
1021,Gears of War 4,XOne,Microsoft Studios,N/A,N/A,N/A,N/A,11th Oct 16,13th Jan 18,Shooter
1022,Tekken: Dark Resurrection    Read the review,PSP,Namco Bandai,8.9,8.7,N/A,3.37m,25th Jul 06,N/A,Fighting
1023,Mario Baseball,Series,Nintendo,N/A,N/A,N/A,3.37m,29th Aug 05,21st Feb 20,Sports
1024,The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,N/A,8.3,N/A,N/A,28th Oct 16,01st Apr 18,Role-Playing
1025,Watch Dogs 2,PS4,Ubisoft,N/A,N/A,N/A,N/A,15th Nov 16,N/A,Action
1026,The Legend of Zelda: Majora's Mask,N64,Nintendo,N/A,9.3,N/A,3.36m,25th Oct 00,N/A,Adventure
1027,Yoshi's Island DS,DS,Nintendo,N/A,8.2,N/A,3.36m,13th Nov 06,N/A,Platform
